Timestamp,Winner,Player X Moves,Player O Moves,Player O Type,First Move,First Player Result
2023-12-06 00:10:15.755736,X,"[(0, 2), (0, 0), (2, 0), (1, 1)]","[(1, 0), (2, 1), (2, 2)]",Human,"('X', (0, 2))",Win
2023-12-06 00:10:38.146551,,"[(1, 0), (2, 2), (0, 1), (2, 0), (1, 2)]","[(2, 1), (1, 1), (0, 2), (0, 0)]",Human,"('X', (1, 0))",Draw
2023-12-06 00:10:59.121156,O,"[(1, 0), (0, 2), (1, 2), (0, 1)]","[(2, 0), (0, 0), (1, 1), (2, 2)]",Human,"('X', (1, 0))",Loss
2023-12-06 00:11:31.800334,X,"[(1, 2), (1, 1), (0, 2), (1, 0)]","[(0, 0), (2, 1), (2, 0)]",Human,"('X', (1, 2))",Win
2023-12-06 00:12:11.712601,X,"[(2, 0), (1, 0), (0, 1), (2, 2), (2, 1)]","[(0, 2), (1, 1), (0, 0), (1, 2)]",Human,"('X', (2, 0))",Win
2023-12-06 00:12:44.365685,O,"[(1, 2), (0, 0), (0, 1), (2, 1)]","[(0, 2), (2, 2), (1, 1), (2, 0)]",Human,"('X', (1, 2))",Loss
2023-12-06 00:13:02.436065,X,"[(2, 0), (0, 2), (0, 0), (1, 0)]","[(2, 1), (0, 1), (1, 2)]",Human,"('X', (2, 0))",Win
2023-12-06 00:13:37.887994,X,"[(1, 1), (0, 0), (2, 2)]","[(2, 0), (1, 2)]",Human,"('X', (1, 1))",Win
2023-12-06 00:14:09.407610,X,"[(0, 0), (0, 2), (2, 0), (0, 1)]","[(1, 1), (1, 0), (2, 2)]",Human,"('X', (0, 0))",Win
2023-12-06 00:14:54.498297,,"[(1, 2), (0, 0), (0, 2), (2, 1), (1, 0)]","[(0, 1), (1, 1), (2, 0), (2, 2)]",Human,"('X', (1, 2))",Draw
